Variable Name,Variable Description
OHQ780I,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780J,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780K,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ555G,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ555Q,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ555U,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?
OHQ560G,At what age did {SP} start using toothpaste?
OHQ560Q,At what age did {SP} start using toothpaste?
OHQ560U,At what age did {SP} start using toothpaste?
OHQ565,Has {SP} ever received prescription fluoride drops?
OHQ570Q,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops?
OHQ570U,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops?
OHQ575G,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops?
OHQ575Q,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops?
OHQ575U,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops?
OHQ580,Has {SP} ever received prescription fluoride tablets?
OHQ585Q,How old in months or years was {SP} when {he/she} started taking prescription fluoride tablets?
OHQ585U,How old in months or years was {SP} when {he/she} started taking prescription fluoride tablets?
OHQ590G,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride tablets?
OHQ590Q,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride tablets?
OHQ590U,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride tablets?
OHQ610,"In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about... ...the benefits of giving up cigarettes or other types of tobacco to improve {your/SP's} dental health?"
OHQ612,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...) ... the dental health benefits of checking {your/his/her} blood sugar?"
OHQ614,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...) ...the importance of examining {your/his/her} mouth for oral cancer?"
OHQ620,How often during the last year (have you/ has SP) had painful aching anywhere in (your/his/her) mouth? Would you say....
OHQ640,"How often during the last year {have you/has SP} had difficulty doing {your/his/her} usual jobs or attending school because of problems with {your/his/her} teeth, mouth or dentures? Would you say . . ."
OHQ680,"How often during the last year {have you/has SP} been self-conscious or embarrassed because of {your/his/her} teeth, mouth or dentures? Would you say . .."
OHQ835,"The next questions will ask about the condition of {your/SP's} teeth and some factors related to gum health. Gum disease is a common problem with the mouth. People with gum disease might have swollen gums, receding gums, sore or infected gums or loose teeth. {Do you/Does SP} think {you/s/he} might have gum disease?"
OHQ845,"Overall, how would {you/SP} rate the health of {your/his/her} teeth and gums?"
OHQ848G,How many times {do you/does SP} brush (your/his/her} teeth in one day?
OHQ848Q,How many times {do you/does SP} brush (your/his/her} teeth in one day?
OHQ849,"On average, how much toothpaste {do you/does SP} use when brushing {your/his/her} teeth?"
OHQ850,"{Have you/Has SP} ever had treatment for gum disease such as scaling and root planing, sometimes called ""deep cleaning""?"
OHQ855,"{Have you/Has SP} ever had any teeth become loose on their own, without an injury?"
OHQ860,{Have you/Has SP} ever been told by a dental professional that {you/s/he} lost bone around [your/his/her} teeth?
OHQ865,"During the past three months, {have you/has SP} noticed a tooth that doesn't look right?"
OHQ870,"Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use dental floss or any other device to clean between {your/his/her} teeth?"
OHQ875,"Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use mouthwash or other dental rinse product that {you use/s/he uses} to treat dental disease or dental problems?"
OHQ880,"{Have you/Has SP} ever had an exam for oral cancer in which the doctor or dentist pulls on {your/his/her} tongue, sometimes with gauze wrapped around it, and feels under the tongue and inside the cheeks?"
OHQ885,{Have you/Has SP} ever had an exam for oral cancer in which the doctor or dentist feels {your/his/her} neck?
OHQ895,"When did {you/SP} have {your/his/her} most recent oral or mouth cancer exam? Was it within the past year, between 1 and 3 years ago, or over 3 years ago?"
OHQ900,What type of health care professional performed {your/SP's} most recent oral cancer exam?
SEQN,Respondent sequence number.
OSQ010a,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?
OSQ010b,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?
OSQ010c,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?
OSQ020a,How many times {have you/has SP} broken or fractured {your/his/her} hip?
OSQ020b,How many times {have you/has SP} broken or fractured {your/his/her} wrist?
OSQ020c,How many times {have you/has SP} broken or fractured {your/his/her} spine?
OSD030aa,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?
OSQ040aa,{Were you/Was SP} . . .
OSD050aa,Did that fracture occur as a result of . . .
OSD030ab,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?
OSQ040ab,{Were you/Was SP} . . .
OSD050ab,Did that fracture occur as a result of . . .
OSD030ac,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 3rd time?
OSQ040ac,{Were you/Was SP} . . .
OSD050ac,Did that fracture occur as a result of . . .
OSD030ba,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?
OSQ040ba,{Were you/Was SP} . . .
OSD050ba,Did that fracture occur as a result of. . .
OSD030bb,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist 2nd time?
OSQ040bb,{Were you/Was SP} . . .
OSD050bb,Did that fracture occur as a result of . . .
OSD030bc,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 3rd time?
OSQ040bc,{Were you/Was SP} . . .
OSD050bc,Did that fracture occur as a result of . . .
OSD030bd,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 4th time?
OSQ040bd,{Were you/Was SP} . . .
OSD050bd,Did that fracture occur as a result of.....
OSD030be,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 5th time?
OSQ040be,{Were you/Was SP} . . .
OSD030bf,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 6th time?
OSQ040bf,{Were you/Was SP} . . .
OSD030bg,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 7th time?
OSQ040bg,{Were you/Was SP} . . .
OSD030bh,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSQ040bh,{Were you/Was SP} . . .
OSD030bi,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSQ040bi,{Were you/Was SP} . . .
OSD030bj,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSQ040bj,{Were you/Was SP} . . .
OSD030ca,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 1st time?
OSQ040ca,{Were you/Was SP} . . .
OSD050ca,Did that fracture occur as a result of . . .
OSD030cb,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 2nd time?
OSQ040cb,{Were you/Was SP} . . .
OSD050cb,Did that fracture occur as a result of . . .
OSD030cc,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 3rd time?
OSQ040cc,{Were you/Was SP} . . .
OSQ080,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bone after {you were/s/he was} 20 years of age?
OSQ090a,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
OSQ100a,Please look at this card and tell me where the fracture occurred.
OSD110a,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100a) for the first time after age 20?
OSQ120a,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?
OSQ090b,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
